sezon,turnuva,tarih,ev_lig,ev,dep_lig,dep
2122,cl,2021-09-15,B1,Club Brugge,F1,Paris SG
2122,cl,2021-09-15,E0,Man City,D1,RB Leipzig
2122,el,2021-09-16,SC0,Rangers,F1,Lyon
2122,cl,2021-09-28,F1,Paris SG,E0,Man City
2122,cl,2021-09-28,D1,RB Leipzig,B1,Club Brugge
2122,cl,2021-10-19,B1,Club Brugge,E0,Man City
2122,cl,2021-10-19,F1,Paris SG,D1,RB Leipzig
2122,cl,2021-11-03,E0,Man City,B1,Club Brugge
2122,cl,2021-11-03,D1,RB Leipzig,F1,Paris SG
2122,cl,2021-11-24,B1,Club Brugge,D1,RB Leipzig
2122,cl,2021-11-24,E0,Man City,F1,Paris SG
2122,cl,2021-12-07,F1,Paris SG,B1,Club Brugge
2122,cl,2021-12-07,D1,RB Leipzig,E0,Man City
2122,el,2021-12-09,F1,Lyon,SC0,Rangers
2122,cl,2022-02-15,F1,Paris SG,SP1,Real Madrid
2122,cl,2022-02-15,P1,Sp Lisbon,E0,Man City
2122,cl,2022-02-16,I1,Inter,E0,Liverpool
2122,el,2022-02-17,I1,Atalanta,G1,Olympiakos
2122,el,2022-02-17,SP1,Barcelona,I1,Napoli
2122,el,2022-02-17,D1,Dortmund,SC0,Rangers
2122,el,2022-02-17,P1,Porto,I1,Lazio
2122,el,2022-02-17,D1,RB Leipzig,SP1,Sociedad
2122,cl,2022-02-22,E0,Chelsea,F1,Lille
2122,cl,2022-02-22,SP1,Villarreal,I1,Juventus
2122,cl,2022-02-23,SP1,Ath Madrid,E0,Man United
2122,cl,2022-02-23,P1,Benfica,N1,Ajax
2122,el,2022-02-24,I1,Lazio,P1,Porto
2122,el,2022-02-24,I1,Napoli,SP1,Barcelona
2122,el,2022-02-24,G1,Olympiakos,I1,Atalanta
2122,el,2022-02-24,SC0,Rangers,D1,Dortmund
2122,el,2022-02-24,SP1,Sociedad,D1,RB Leipzig
2122,cl,2022-03-08,E0,Liverpool,I1,Inter
2122,cl,2022-03-09,E0,Man City,P1,Sp Lisbon
2122,cl,2022-03-09,SP1,Real Madrid,F1,Paris SG
2122,el,2022-03-09,SP1,Betis,D1,Ein Frankfurt
2122,el,2022-03-09,P1,Porto,F1,Lyon
2122,conf,2022-03-10,E0,Leicester,F1,Rennes
2122,conf,2022-03-10,G1,PAOK,B1,Gent
2122,conf,2022-03-10,N1,Vitesse,I1,Roma
2122,el,2022-03-10,I1,Atalanta,D1,Leverkusen
2122,el,2022-03-10,SP1,Barcelona,T1,Galatasaray
2122,el,2022-03-10,SP1,Sevilla,E0,West Ham
2122,el,2022-03-10,P1,Sp Braga,F1,Monaco
2122,cl,2022-03-15,N1,Ajax,P1,Benfica
2122,cl,2022-03-15,E0,Man United,SP1,Ath Madrid
2122,cl,2022-03-16,I1,Juventus,SP1,Villarreal
2122,cl,2022-03-16,F1,Lille,E0,Chelsea
2122,conf,2022-03-17,B1,Gent,G1,PAOK
2122,conf,2022-03-17,F1,Rennes,E0,Leicester
2122,conf,2022-03-17,I1,Roma,N1,Vitesse
2122,el,2022-03-17,D1,Ein Frankfurt,SP1,Betis
2122,el,2022-03-17,T1,Galatasaray,SP1,Barcelona
2122,el,2022-03-17,D1,Leverkusen,I1,Atalanta
2122,el,2022-03-17,F1,Lyon,P1,Porto
2122,el,2022-03-17,F1,Monaco,P1,Sp Braga
2122,el,2022-03-17,E0,West Ham,SP1,Sevilla
2122,cl,2022-04-05,P1,Benfica,E0,Liverpool
2122,cl,2022-04-05,E0,Man City,SP1,Ath Madrid
2122,cl,2022-04-06,E0,Chelsea,SP1,Real Madrid
2122,cl,2022-04-06,SP1,Villarreal,D1,Bayern Munich
2122,conf,2022-04-07,E0,Leicester,N1,PSV Eindhoven
2122,conf,2022-04-07,F1,Marseille,G1,PAOK
2122,el,2022-04-07,D1,Ein Frankfurt,SP1,Barcelona
2122,el,2022-04-07,D1,RB Leipzig,I1,Atalanta
2122,el,2022-04-07,P1,Sp Braga,SC0,Rangers
2122,el,2022-04-07,E0,West Ham,F1,Lyon
2122,cl,2022-04-12,D1,Bayern Munich,SP1,Villarreal
2122,cl,2022-04-12,SP1,Real Madrid,E0,Chelsea
2122,cl,2022-04-13,SP1,Ath Madrid,E0,Man City
2122,cl,2022-04-13,E0,Liverpool,P1,Benfica
2122,conf,2022-04-14,G1,PAOK,F1,Marseille
2122,conf,2022-04-14,N1,PSV Eindhoven,E0,Leicester
2122,el,2022-04-14,I1,Atalanta,D1,RB Leipzig
2122,el,2022-04-14,SP1,Barcelona,D1,Ein Frankfurt
2122,el,2022-04-14,F1,Lyon,E0,West Ham
2122,el,2022-04-14,SC0,Rangers,P1,Sp Braga
2122,cl,2022-04-26,E0,Man City,SP1,Real Madrid
2122,cl,2022-04-27,E0,Liverpool,SP1,Villarreal
2122,conf,2022-04-28,N1,Feyenoord,F1,Marseille
2122,conf,2022-04-28,E0,Leicester,I1,Roma
2122,el,2022-04-28,D1,RB Leipzig,SC0,Rangers
2122,el,2022-04-28,E0,West Ham,D1,Ein Frankfurt
2122,cl,2022-05-03,SP1,Villarreal,E0,Liverpool
2122,cl,2022-05-04,SP1,Real Madrid,E0,Man City
