sezon,lig,tarih,iso_yil,iso_hafta,ev,dep,hg,ag,kod,oran_1,oran_0,oran_2,oran_kaynak,oran_kapanis,acilis_1,acilis_0,acilis_2,acilis_kaynak,kapanis_1,kapanis_0,kapanis_2,kapanis_kaynak,b_B365_1,b_B365_0,b_B365_2,b_PS_1,b_PS_0,b_PS_2,b_Max_1,b_Max_0,b_Max_2,b_Avg_1,b_Avg_0,b_Avg_2,ev_sut,dep_sut,ev_isabet,dep_isabet,ev_korner,dep_korner
2122,B1,2021-07-23,2021,29,Standard,Genk,1,1,0,3.2,3.75,2.08,AvgC,1,2.73,3.59,2.42,Avg,3.2,3.75,2.08,AvgC,3.4,3.5,2.0,3.29,3.91,2.11,3.6,3.96,2.18,3.2,3.75,2.08,17,17,5,5,7,3
2122,D2,2021-07-23,2021,29,Schalke 04,Hamburg,1,3,2,2.51,3.53,2.66,AvgC,1,2.62,3.47,2.57,Avg,2.51,3.53,2.66,AvgC,2.45,3.6,2.62,2.61,3.66,2.7,2.7,3.71,2.78,2.51,3.53,2.66,14,14,8,6,3,5
2122,B1,2021-07-24,2021,29,Kortrijk,Seraing,2,0,1,1.78,3.73,4.34,AvgC,1,1.78,3.75,4.26,Avg,1.78,3.73,4.34,AvgC,1.8,3.8,4.33,1.78,3.88,4.6,1.83,3.9,4.63,1.78,3.73,4.34,9,9,4,4,2,1
2122,B1,2021-07-24,2021,29,Oostende,Charleroi,0,3,2,2.25,3.41,3.1,AvgC,1,2.28,3.45,2.98,Avg,2.25,3.41,3.1,AvgC,2.2,3.5,3.1,2.25,3.53,3.27,2.38,3.55,3.27,2.25,3.41,3.1,11,10,3,6,9,2
2122,B1,2021-07-24,2021,29,Oud-Heverlee Leuven,Waregem,1,1,0,1.97,3.95,3.35,AvgC,1,2.03,3.68,3.36,Avg,1.97,3.95,3.35,AvgC,1.95,3.6,3.6,1.97,4.11,3.52,2.04,4.11,3.6,1.97,3.95,3.35,13,10,4,4,0,4
2122,D2,2021-07-24,2021,29,Darmstadt,Regensburg,0,2,2,2.52,3.22,2.84,AvgC,1,2.9,3.21,2.46,Avg,2.52,3.22,2.84,AvgC,2.45,3.4,2.9,2.57,3.26,2.97,2.69,3.44,3.01,2.52,3.22,2.84,9,15,0,6,1,5
2122,D2,2021-07-24,2021,29,Dresden,Ingolstadt,3,0,1,2.37,3.3,2.99,AvgC,1,2.4,3.33,2.9,Avg,2.37,3.3,2.99,AvgC,2.37,3.4,2.8,2.47,3.39,3.05,2.47,3.52,3.28,2.37,3.3,2.99,17,9,8,1,5,0
2122,D2,2021-07-24,2021,29,Hansa Rostock,Karlsruhe,1,3,2,2.76,3.2,2.61,AvgC,1,2.71,3.27,2.6,Avg,2.76,3.2,2.61,AvgC,2.7,3.5,2.5,2.82,3.31,2.7,2.96,3.57,2.73,2.76,3.2,2.61,9,12,5,5,6,3
2122,D2,2021-07-24,2021,29,Heidenheim,Paderborn,0,0,0,2.17,3.47,3.21,AvgC,1,2.26,3.5,3.0,Avg,2.17,3.47,3.21,AvgC,2.1,3.5,3.4,2.21,3.59,3.36,2.25,3.62,3.46,2.17,3.47,3.21,14,8,5,3,4,5
2122,D2,2021-07-24,2021,29,Werder Bremen,Hannover,1,1,0,1.91,3.67,3.81,AvgC,1,1.92,3.74,3.66,Avg,1.91,3.67,3.81,AvgC,1.85,3.6,4.0,1.96,3.73,3.98,1.99,3.95,4.1,1.91,3.67,3.81,9,13,3,4,7,5
2122,F2,2021-07-24,2021,29,Amiens,Auxerre,1,2,2,3.12,2.98,2.43,AvgC,1,2.69,2.95,2.8,Avg,3.12,2.98,2.43,AvgC,3.1,3.1,2.4,3.28,3.07,2.49,3.31,3.13,2.55,3.12,2.98,2.43,10,12,4,5,9,5
2122,F2,2021-07-24,2021,29,Bastia,Nimes,1,1,0,2.37,3.08,3.12,AvgC,1,2.95,3.06,2.5,Avg,2.37,3.08,3.12,AvgC,2.37,3.0,3.3,2.39,3.22,3.29,2.48,3.23,3.33,2.37,3.08,3.12,10,9,4,6,4,2
2122,F2,2021-07-24,2021,29,Caen,Rodez,4,0,1,2.45,2.89,3.21,AvgC,1,2.42,2.98,3.15,Avg,2.45,2.89,3.21,AvgC,2.37,3.1,3.1,2.49,2.97,3.38,2.53,3.1,3.41,2.45,2.89,3.21,13,15,5,7,2,8
