sezon,lig,tarih,ev,dep,hakem
2122,E0,2021-08-13,Brentford,Arsenal,M Oliver
2122,E0,2021-08-14,Burnley,Brighton,D Coote
2122,E0,2021-08-14,Chelsea,Crystal Palace,J Moss
2122,E0,2021-08-14,Everton,Southampton,A Madley
2122,E0,2021-08-14,Leicester,Wolves,C Pawson
2122,E0,2021-08-14,Man United,Leeds,P Tierney
2122,E0,2021-08-14,Norwich,Liverpool,A Marriner
2122,E0,2021-08-14,Watford,Aston Villa,M Dean
2122,E0,2021-08-15,Newcastle,West Ham,M Atkinson
2122,E0,2021-08-15,Tottenham,Man City,A Taylor
2122,E0,2021-08-21,Aston Villa,Newcastle,D Coote
2122,E0,2021-08-21,Brighton,Watford,A Taylor
2122,E0,2021-08-21,Crystal Palace,Brentford,M Atkinson
2122,E0,2021-08-21,Leeds,Everton,D England
2122,E0,2021-08-21,Liverpool,Burnley,M Dean
2122,E0,2021-08-21,Man City,Norwich,G Scott
2122,E0,2021-08-22,Arsenal,Chelsea,P Tierney
2122,E0,2021-08-22,Southampton,Man United,C Pawson
2122,E0,2021-08-22,Wolves,Tottenham,S Attwell
2122,E0,2021-08-23,West Ham,Leicester,M Oliver
2122,E0,2021-08-28,Aston Villa,Brentford,P Bankes
2122,E0,2021-08-28,Brighton,Everton,J Moss
2122,E0,2021-08-28,Liverpool,Chelsea,A Taylor
2122,E0,2021-08-28,Man City,Arsenal,M Atkinson
2122,E0,2021-08-28,Newcastle,Southampton,P Tierney
2122,E0,2021-08-28,Norwich,Leicester,R Jones
2122,E0,2021-08-28,West Ham,Crystal Palace,S Attwell
2122,E0,2021-08-29,Burnley,Leeds,M Oliver
2122,E0,2021-08-29,Tottenham,Watford,A Marriner
2122,E0,2021-08-29,Wolves,Man United,M Dean
2122,E0,2021-09-11,Arsenal,Norwich,M Oliver
2122,E0,2021-09-11,Brentford,Brighton,G Scott
2122,E0,2021-09-11,Chelsea,Aston Villa,S Attwell
2122,E0,2021-09-11,Crystal Palace,Tottenham,J Moss
2122,E0,2021-09-11,Leicester,Man City,P Tierney
2122,E0,2021-09-11,Man United,Newcastle,A Taylor
2122,E0,2021-09-11,Southampton,West Ham,D Coote
2122,E0,2021-09-11,Watford,Wolves,P Bankes
2122,E0,2021-09-12,Leeds,Liverpool,C Pawson
2122,E0,2021-09-13,Everton,Burnley,M Atkinson
2122,E0,2021-09-17,Newcastle,Leeds,M Dean
2122,E0,2021-09-18,Aston Villa,Everton,C Pawson
2122,E0,2021-09-18,Burnley,Arsenal,A Taylor
2122,E0,2021-09-18,Liverpool,Crystal Palace,A Madley
2122,E0,2021-09-18,Man City,Southampton,J Moss
2122,E0,2021-09-18,Norwich,Watford,R Jones
2122,E0,2021-09-18,Wolves,Brentford,D England
2122,E0,2021-09-19,Brighton,Leicester,S Attwell
2122,E0,2021-09-19,Tottenham,Chelsea,P Tierney
2122,E0,2021-09-19,West Ham,Man United,M Atkinson
2122,E0,2021-09-25,Brentford,Liverpool,S Attwell
2122,E0,2021-09-25,Chelsea,Man City,M Oliver
2122,E0,2021-09-25,Everton,Norwich,D Coote
2122,E0,2021-09-25,Leeds,West Ham,K Friend
2122,E0,2021-09-25,Leicester,Burnley,C Kavanagh
2122,E0,2021-09-25,Man United,Aston Villa,M Dean
2122,E0,2021-09-25,Watford,Newcastle,J Gillett
2122,E0,2021-09-26,Arsenal,Tottenham,C Pawson
2122,E0,2021-09-26,Southampton,Wolves,A Madley
2122,E0,2021-09-27,Crystal Palace,Brighton,A Marriner
2122,E0,2021-10-02,Brighton,Arsenal,J Moss
2122,E0,2021-10-02,Burnley,Norwich,K Friend
2122,E0,2021-10-02,Chelsea,Southampton,M Atkinson
2122,E0,2021-10-02,Leeds,Watford,S Hooper
