week,no,kickoff,home,away,hg,ag,code,kaynak_dosya,kaynak_lig,kaynak_ev,kaynak_dep,guven,AHCh,AHh,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,BWA,BWCA,BWCD,BWCH,BWD,BWH,IWA,IWCA,IWCD,IWCH,IWD,IWH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH,stat_AC,stat_AF,stat_AR,stat_AS,stat_AST,stat_AY,stat_HC,stat_HF,stat_HR,stat_HS,stat_HST,stat_HTAG,stat_HTHG,stat_HY
21,1,2022-12-23,Antalyaspor,Ankaragucu,0,2,2,T1,T1,Antalyaspor,Ankaragucu,1.0,-0.25,-0.25,1.76,2.06,3.45,2.01,1.84,1.78,2.04,3.41,1.99,1.86,3.34,2.14,3.35,2.12,1.75,2.05,3.4,2.02,1.83,1.75,2.05,3.3,2.0,1.85,3.5,2.1,3.5,2.1,3.4,3.4,3.3,2.1,3.3,2.1,3.4,3.35,3.35,2.2,3.4,2.15,1.83,2.16,3.66,2.08,1.87,1.85,2.1,3.62,2.05,1.91,3.5,2.22,3.52,2.18,1.79,2.1,2.05,1.86,1.81,2.08,2.02,1.89,3.66,3.55,3.42,2.2,3.38,2.18,3.5,3.5,3.3,2.15,3.3,2.15,3.3,3.4,3.2,2.15,3.4,2.1,6.0,12.0,0.0,8.0,2.0,2.0,1.0,9.0,0.0,11.0,2.0,0.0,0.0,2.0
21,2,2022-12-23,Umraniyespor,Buyuksehyr,1,3,2,T1,T1,Umraniyespor,Buyuksehyr,1.0,0.5,0.25,1.75,2.08,2.19,1.89,1.96,1.79,2.02,2.01,2.01,1.84,3.42,3.7,3.31,3.34,1.73,2.08,2.15,1.9,1.95,1.83,2.02,1.91,1.95,1.9,3.5,3.75,3.3,3.3,2.15,1.95,3.4,3.75,3.25,3.4,2.2,2.05,3.4,3.65,3.3,3.3,1.8,2.14,2.26,1.95,2.02,1.91,2.09,2.15,2.1,1.95,3.64,4.1,3.5,3.48,1.78,2.13,1.93,1.98,1.85,2.05,2.0,1.9,2.24,2.0,3.56,4.02,3.41,3.47,2.2,2.0,3.4,3.75,3.3,3.4,2.15,2.0,3.4,3.6,3.2,3.4,2.0,18.0,0.0,12.0,4.0,1.0,1.0,16.0,0.0,11.0,5.0,1.0,1.0,3.0
21,3,2022-12-24,Hatayspor,Giresunspor,1,1,0,T1,T1,Hatayspor,Giresunspor,1.0,-0.25,-0.25,2.02,1.8,3.14,1.95,1.89,2.09,1.74,3.38,2.04,1.81,3.61,2.05,3.57,2.16,2.0,1.8,3.1,1.95,1.9,2.08,1.73,3.3,2.05,1.8,3.75,2.05,3.6,2.15,3.1,3.2,3.5,2.1,3.6,2.1,3.15,3.25,3.65,2.1,3.6,2.15,2.11,1.86,3.32,2.02,1.97,2.16,1.8,3.57,2.13,1.87,3.8,2.11,3.7,2.25,2.03,1.86,1.95,1.95,2.15,1.76,2.09,1.83,3.21,3.52,3.7,2.11,3.68,2.25,3.2,3.4,3.6,2.05,3.6,2.15,3.3,3.4,3.6,2.0,3.4,2.1,4.0,12.0,0.0,12.0,4.0,3.0,4.0,10.0,0.0,11.0,4.0,0.0,0.0,2.0
21,4,2022-12-24,Kasimpasa,Sivasspor,1,2,2,T1,T1,Kasimpasa,Sivasspor,1.0,-0.25,-0.25,1.94,1.87,3.09,1.89,1.96,2.12,1.72,3.07,1.92,1.93,3.55,2.21,3.4,2.26,1.95,1.9,3.1,1.9,1.95,2.08,1.73,3.1,1.93,1.93,3.5,2.15,3.5,2.2,2.95,3.0,3.6,2.15,3.5,2.2,3.05,3.05,3.6,2.25,3.45,2.3,2.03,1.95,3.3,1.94,1.99,2.26,2.0,3.25,1.97,1.97,3.7,2.3,3.6,2.32,1.94,1.94,1.92,1.99,2.15,1.76,1.93,1.97,3.3,3.25,3.58,2.28,3.4,2.32,3.13,3.13,3.5,2.25,3.4,2.25,3.1,3.1,3.5,2.15,3.3,2.25,6.0,9.0,0.0,9.0,3.0,2.0,4.0,18.0,0.0,10.0,1.0,1.0,1.0,4.0
21,5,2022-12-24,Trabzonspor,Fenerbahce,2,0,1,T1,T1,Trabzonspor,Fenerbahce,1.0,0.25,0.0,2.04,1.78,2.47,1.82,2.02,1.87,1.93,2.48,2.14,1.74,3.28,2.83,3.43,2.75,2.0,1.8,2.45,1.85,2.0,1.9,1.95,2.45,2.05,1.75,3.3,2.9,3.5,2.75,2.4,2.4,3.25,2.8,3.5,2.7,2.5,2.5,3.35,2.8,3.4,2.75,2.11,1.82,2.56,1.89,2.08,1.95,1.99,2.6,2.18,1.81,3.45,3.08,3.66,2.86,2.07,1.81,1.86,2.05,1.93,1.96,2.17,1.76,2.56,2.54,3.37,2.97,3.52,2.83,2.55,2.5,3.3,2.88,3.3,2.8,2.4,2.4,3.2,2.9,3.4,2.75,2.0,19.0,1.0,8.0,0.0,5.0,5.0,20.0,0.0,18.0,7.0,0.0,0.0,4.0
21,6,2022-12-25,Ad. Demirspor,Karagumruk,2,1,1,T1,T1,Ad. Demirspor,Karagumruk,1.0,-1.0,-0.75,2.2,1.67,4.6,1.95,1.89,3.04,1.37,4.57,1.84,2.0,4.42,1.62,3.89,1.71,2.15,1.67,4.75,1.95,1.9,3.1,1.36,4.5,1.85,2.0,4.5,1.6,3.8,1.67,4.5,4.5,4.4,1.6,3.9,1.68,4.6,4.5,4.4,1.65,3.85,1.73,2.29,1.72,4.93,2.0,1.94,3.25,1.4,5.0,1.9,2.07,4.7,1.68,4.18,1.75,2.21,1.72,1.96,1.94,3.1,1.4,1.88,2.03,4.91,4.9,4.5,1.65,3.91,1.75,4.75,4.8,4.5,1.6,3.9,1.7,4.6,4.75,4.2,1.6,3.9,1.67,4.0,10.0,0.0,14.0,3.0,2.0,4.0,15.0,0.0,16.0,6.0,1.0,2.0,3.0
21,7,2022-12-25,Gaziantep,Besiktas,1,1,0,T1,T1,Gaziantep,Besiktas,1.0,0.75,0.5,2.24,1.64,1.85,1.86,1.99,2.38,1.57,1.72,1.92,1.93,4.06,4.33,3.88,3.8,2.25,1.62,1.83,1.85,2.0,2.35,1.57,1.7,1.98,1.88,4.0,4.0,4.0,3.75,1.88,1.72,4.0,4.1,3.75,3.6,1.9,1.73,4.1,4.3,3.8,3.7,2.31,1.69,1.94,1.91,2.06,2.56,1.63,1.8,2.01,2.0,4.36,4.8,4.15,4.23,2.3,1.67,1.85,2.06,2.37,1.63,1.99,1.92,1.85,1.78,4.09,4.44,4.15,4.01,1.85,1.73,4.1,4.33,3.75,4.0,1.85,1.73,4.0,4.2,3.7,3.8,4.0,9.0,0.0,20.0,1.0,2.0,2.0,15.0,0.0,10.0,3.0,0.0,0.0,4.0
21,8,2022-12-25,Konyaspor,Alanyaspor,2,2,0,T1,T1,Konyaspor,Alanyaspor,1.0,-0.75,-0.75,2.07,1.75,4.36,1.83,2.02,2.38,1.58,4.11,1.84,2.01,3.87,1.79,3.67,1.79,2.08,1.73,4.0,1.77,2.02,2.3,1.6,4.0,1.85,2.0,3.75,1.75,3.8,1.8,4.2,4.0,3.9,1.77,3.6,1.78,4.2,4.1,3.85,1.8,3.7,1.83,2.13,1.8,4.77,1.88,2.07,2.55,1.65,4.47,1.9,2.05,4.1,1.83,3.96,1.86,2.12,1.78,1.85,2.07,2.34,1.65,1.87,2.04,4.77,4.45,3.95,1.81,3.67,1.83,4.5,4.1,3.9,1.8,3.6,1.8,4.33,4.2,3.7,1.8,3.6,1.78,5.0,21.0,0.0,15.0,6.0,4.0,4.0,9.0,0.0,10.0,3.0,0.0,1.0,3.0
21,9,2022-12-25,Galatasaray,Istanbulspor,2,1,1,T1,T1,Galatasaray,Istanbulspor,1.0,-2.0,-1.75,2.74,1.44,10.43,1.94,1.9,3.73,1.27,12.32,2.03,1.82,7.31,1.19,6.12,1.25,2.7,1.44,9.0,1.93,1.93,4.0,1.25,11.0,2.0,1.85,7.0,1.2,6.0,1.25,10.5,10.5,7.25,1.21,5.75,1.25,11.0,11.0,7.25,1.2,6.0,1.27,2.88,1.48,12.0,1.99,1.99,4.0,1.31,17.0,2.17,1.88,8.2,1.23,6.7,1.28,2.77,1.47,1.94,1.94,3.85,1.28,2.01,1.88,10.68,12.2,7.11,1.23,6.35,1.27,12.0,13.0,7.5,1.18,6.0,1.25,11.0,13.0,6.5,1.2,5.8,1.24,5.0,7.0,0.0,12.0,2.0,2.0,12.0,13.0,0.0,17.0,5.0,0.0,2.0,4.0
21,10,2022-12-26,Brentford,Tottenham,2,2,0,E0,E0,Brentford,Tottenham,1.0,0.25,0.5,2.01,1.8,1.95,1.95,1.92,2.09,1.77,2.1,1.83,2.06,3.66,3.46,3.74,3.85,2.0,1.8,1.91,1.95,1.95,2.1,1.73,2.1,1.91,1.99,3.6,3.3,3.6,4.0,1.95,2.1,3.6,3.4,3.7,3.7,1.95,2.15,3.5,3.35,3.65,3.85,2.11,1.86,2.04,2.0,1.99,2.23,1.82,2.21,1.94,2.18,3.8,3.72,3.9,4.05,2.11,1.81,1.93,1.99,2.12,1.8,1.91,2.01,1.93,2.2,3.68,3.36,3.89,4.0,1.91,2.1,3.5,3.4,3.5,3.8,1.95,2.05,3.5,3.5,3.6,3.75,5.0,10.0,0.0,16.0,8.0,1.0,6.0,11.0,0.0,9.0,5.0,0.0,1.0,3.0
