lig,ulke,takim,sehir
B1,BEL,Anderlecht,Brussels
B1,BEL,Antwerp,Antwerpen
B1,BEL,Beerschot VA,Antwerpen
B1,BEL,Cercle Brugge,Brugge
B1,BEL,Charleroi,Charleroi
B1,BEL,Club Brugge,Brugge
B1,BEL,Dender,Denderleeuw
B1,BEL,Eupen,Eupen
B1,BEL,Genk,Genk
B1,BEL,Gent,Gent
B1,BEL,Kortrijk,Kortrijk
B1,BEL,Mechelen,Mechelen
B1,BEL,Oostende,Oostende
B1,BEL,Oud-Heverlee Leuven,Leuven
B1,BEL,RWD Molenbeek,Brussels
B1,BEL,Seraing,Seraing
B1,BEL,St Truiden,Sint-Truiden
B1,BEL,St. Gilloise,Brussels
B1,BEL,Standard,Liège
B1,BEL,Waregem,Waregem
B1,BEL,Westerlo,Westerlo
D1,GER,Augsburg,Augsburg
D1,GER,Bayern Munich,München
D1,GER,Bielefeld,Bielefeld
D1,GER,Bochum,Bochum
D1,GER,Darmstadt,Darmstadt
D1,GER,Dortmund,Dortmund
D1,GER,Ein Frankfurt,Frankfurt am Main
D1,GER,FC Koln,Köln
D1,GER,Freiburg,Freiburg
D1,GER,Greuther Furth,Fürth
D1,GER,Heidenheim,Heidenheim an der Brenz
D1,GER,Hertha,Berlin
D1,GER,Hoffenheim,Sinsheim
D1,GER,Holstein Kiel,Kiel
D1,GER,Leverkusen,Leverkusen
D1,GER,M'gladbach,Mönchengladbach
D1,GER,Mainz,Mainz
D1,GER,RB Leipzig,Leipzig
D1,GER,Schalke 04,Gelsenkirchen
D1,GER,St Pauli,Hamburg
D1,GER,Stuttgart,Stuttgart
D1,GER,Union Berlin,Berlin
D1,GER,Werder Bremen,Bremen
D1,GER,Wolfsburg,Wolfsburg
D2,GER,Bielefeld,Bielefeld
D2,GER,Braunschweig,Braunschweig
D2,GER,Darmstadt,Darmstadt
D2,GER,Dresden,Dresden
D2,GER,Erzgebirge Aue,Aue
D2,GER,FC Koln,Köln
D2,GER,Fortuna Dusseldorf,Düsseldorf
D2,GER,Greuther Furth,Fürth
D2,GER,Hamburg,Hamburg
